,a,b,d,e,f,g,h,i,k,l,m,n,o,p,r,s,t,u,w,z,ä,ö,ü
a,1.0,0.2222222222222222,0.09090909090909091,0.7,0.1,0.18181818181818182,0.1111111111111111,0.7777777777777778,0.09090909090909091,0.23076923076923078,0.3,0.16666666666666666,0.7,0.1111111111111111,0.25,0.16666666666666666,0.0,0.6363636363636364,0.2,0.0,0.875,0.6363636363636364,0.7
b,0.2222222222222222,1.0,0.4,0.2,0.5,0.3333333333333333,0.0,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.6,0.2857142857142857,0.2,0.6666666666666666,0.25,0.2857142857142857,0.2,0.18181818181818182,0.75,0.14285714285714285,0.25,0.18181818181818182,0.2
d,0.09090909090909091,0.4,1.0,0.08333333333333333,0.16666666666666666,0.2857142857142857,0.0,0.09090909090909091,0.14285714285714285,0.5,0.2857142857142857,0.6666666666666666,0.08333333333333333,0.2,0.5714285714285714,0.6666666666666666,0.75,0.07692307692307693,0.3333333333333333,0.5,0.1,0.07692307692307693,0.08333333333333333
e,0.7,0.2,0.08333333333333333,1.0,0.09090909090909091,0.16666666666666666,0.1,0.7,0.08333333333333333,0.21428571428571427,0.2727272727272727,0.15384615384615385,0.6363636363636364,0.1,0.23076923076923078,0.15384615384615385,0.0,0.5833333333333334,0.18181818181818182,0.0,0.7777777777777778,0.9,0.6363636363636364
f,0.1,0.5,0.16666666666666666,0.09090909090909091,1.0,0.14285714285714285,0.0,0.1,0.16666666666666666,0.1,0.3333333333333333,0.125,0.09090909090909091,0.6666666666666666,0.1111111111111111,0.2857142857142857,0.2,0.08333333333333333,0.75,0.3333333333333333,0.1111111111111111,0.08333333333333333,0.09090909090909091
g,0.18181818181818182,0.3333333333333333,0.2857142857142857,0.16666666666666666,0.14285714285714285,1.0,0.0,0.3,0.8,0.18181818181818182,0.25,0.2222222222222222,0.2727272727272727,0.16666666666666666,0.2,0.2222222222222222,0.14285714285714285,0.36363636363636365,0.2857142857142857,0.1111111111111111,0.2,0.15384615384615385,0.2727272727272727
h,0.1111111111111111,0.0,0.0,0.1,0.0,0.0,1.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1,0.0,0.125,0.14285714285714285,0.0,0.09090909090909091,0.0,0.0,0.125,0.09090909090909091,0.1
i,0.7777777777777778,0.2222222222222222,0.09090909090909091,0.7,0.1,0.3,0.1111111111111111,1.0,0.2,0.23076923076923078,0.3,0.16666666666666666,0.7,0.1111111111111111,0.25,0.16666666666666666,0.0,0.8,0.2,0.0,0.875,0.6363636363636364,0.8888888888888888
k,0.09090909090909091,0.16666666666666666,0.14285714285714285,0.08333333333333333,0.16666666666666666,0.8,0.0,0.2,1.0,0.09090909090909091,0.125,0.1111111111111111,0.18181818181818182,0.2,0.1,0.1111111111111111,0.16666666666666666,0.2727272727272727,0.14285714285714285,0.125,0.1,0.07692307692307693,0.18181818181818182
l,0.23076923076923078,0.2222222222222222,0.5,0.21428571428571427,0.1,0.18181818181818182,0.1111111111111111,0.23076923076923078,0.09090909090909091,1.0,0.3,0.5555555555555556,0.21428571428571427,0.1111111111111111,0.875,0.5555555555555556,0.375,0.2,0.2,0.3,0.25,0.2,0.21428571428571427
m,0.3,0.6,0.2857142857142857,0.2727272727272727,0.3333333333333333,0.25,0.0,0.3,0.125,0.3,1.0,0.5714285714285714,0.2727272727272727,0.4,0.3333333333333333,0.2222222222222222,0.14285714285714285,0.25,0.5,0.1111111111111111,0.3333333333333333,0.25,0.2727272727272727
n,0.16666666666666666,0.2857142857142857,0.6666666666666666,0.15384615384615385,0.125,0.2222222222222222,0.0,0.16666666666666666,0.1111111111111111,0.5555555555555556,0.5714285714285714,1.0,0.15384615384615385,0.14285714285714285,0.625,0.5,0.5,0.14285714285714285,0.25,0.375,0.18181818181818182,0.14285714285714285,0.15384615384615385
o,0.7,0.2,0.08333333333333333,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.1,0.7,0.18181818181818182,0.21428571428571427,0.2727272727272727,0.15384615384615385,1.0,0.1,0.23076923076923078,0.15384615384615385,0.0,0.9,0.18181818181818182,0.0,0.7777777777777778,0.7272727272727273,0.8
p,0.1111111111111111,0.6666666666666666,0.2,0.1,0.6666666666666666,0.16666666666666666,0.0,0.1111111111111111,0.2,0.1111111111111111,0.4,0.14285714285714285,0.1,1.0,0.125,0.14285714285714285,0.25,0.09090909090909091,0.5,0.16666666666666666,0.125,0.09090909090909091,0.1
r,0.25,0.25,0.5714285714285714,0.23076923076923078,0.1111111111111111,0.2,0.125,0.25,0.1,0.875,0.3333333333333333,0.625,0.23076923076923078,0.125,1.0,0.625,0.42857142857142855,0.21428571428571427,0.2222222222222222,0.3333333333333333,0.2727272727272727,0.21428571428571427,0.23076923076923078
s,0.16666666666666666,0.2857142857142857,0.6666666666666666,0.15384615384615385,0.2857142857142857,0.2222222222222222,0.14285714285714285,0.16666666666666666,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.5,0.15384615384615385,0.14285714285714285,0.625,1.0,0.5,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.18181818181818182,0.14285714285714285,0.15384615384615385
t,0.0,0.2,0.75,0.0,0.2,0.14285714285714285,0.0,0.0,0.16666666666666666,0.375,0.14285714285714285,0.5,0.0,0.25,0.42857142857142855,0.5,1.0,0.0,0.16666666666666666,0.6,0.0,0.0,0.0
u,0.6363636363636364,0.18181818181818182,0.07692307692307693,0.5833333333333334,0.08333333333333333,0.36363636363636365,0.09090909090909091,0.8,0.2727272727272727,0.2,0.25,0.14285714285714285,0.9,0.09090909090909091,0.21428571428571427,0.14285714285714285,0.0,1.0,0.16666666666666666,0.0,0.7,0.6666666666666666,0.9
