,a,b,d,e,f,g,h,i,k,l,m,n,o,p,r,s,t,u,w,z,ä,ö,ü
a,1.0,0.4222221666666666,0.5277778333333334,0.3277778333333334,0.011111166666666672,0.39999999999999997,0.06111116666666668,0.033333333333333326,0.022222166666666654,0.027777833333333318,0.033333333333333326,0.13888883333333335,0.6666666666666666,0.35555549999999997,0.08333333333333333,0.17222216666666665,0.027777833333333318,0.3277778333333334,0.033333333333333326,0.027777833333333318,0.8924731666666667,0.4944445,0.2833333333333334
b,0.4222221666666666,1.0,0.7666666666666666,0.21111116666666666,0.13888883333333335,0.4222221666666666,0.45,0.07222216666666666,0.1888888333333333,0.2944445,0.03888883333333334,0.12777783333333334,0.5333333333333333,0.6777778333333333,0.0444445,0.06666666666666665,0.10555549999999998,0.15555549999999999,0.01666666666666668,0.022222166666666654,0.3,0.3444445,0.11111116666666665
d,0.5277778333333334,0.7666666666666666,1.0,0.31111116666666666,0.07222216666666666,0.5166666666666666,0.2888888333333333,0.12222216666666667,0.055555500000000015,0.21666666666666665,0.022222166666666654,0.15555549999999999,0.65,0.6827956666666667,0.055555500000000015,0.0444445,0.06111116666666668,0.13888883333333335,0.011111166666666672,0.03888883333333334,0.39444450000000003,0.3833333333333333,0.11111116666666665
e,0.3277778333333334,0.21111116666666666,0.31111116666666666,1.0,0.055555500000000015,0.22777783333333335,0.03888883333333334,0.033333333333333326,0.033333333333333326,0.011111166666666672,0.022222166666666654,0.12222216666666667,0.5222221666666668,0.2333333333333333,0.0444445,0.20000000000000004,0.033333333333333326,0.0944445,0.05000000000000001,0.055555500000000015,0.3666666666666667,0.35555549999999997,0.0944445
f,0.011111166666666672,0.13888883333333335,0.07222216666666666,0.055555500000000015,1.0,0.06666666666666665,0.13333333333333333,0.5268816666666667,0.0944445,0.5055554999999999,0.055555500000000015,0.033333333333333326,0.027777833333333318,0.10555549999999998,0.4666666666666666,0.0444445,0.6333333333333333,0.0444445,0.022222166666666654,0.05000000000000001,0.055555500000000015,0.01666666666666668,0.022222166666666654
g,0.39999999999999997,0.4222221666666666,0.5166666666666666,0.22777783333333335,0.06666666666666665,1.0,0.0944445,0.08888883333333335,0.027777833333333318,0.05000000000000001,0.0444445,0.11666666666666665,0.4111111666666667,0.5833333333333334,0.0444445,0.13333333333333333,0.022222166666666654,0.12222216666666667,0.027777833333333318,0.03888883333333334,0.2833333333333334,0.2555555,0.16111116666666667
h,0.06111116666666668,0.45,0.2888888333333333,0.03888883333333334,0.13333333333333333,0.0944445,1.0,0.15555549999999999,0.2944445,0.2555555,0.2555555,0.7555554999999999,0.07777783333333332,0.24444450000000004,0.22777783333333335,0.03888883333333334,0.16111116666666667,0.38888883333333335,0.05000000000000001,0.033333333333333326,0.07222216666666666,0.10000000000000002,0.35555549999999997
i,0.033333333333333326,0.07222216666666666,0.12222216666666667,0.033333333333333326,0.5268816666666667,0.08888883333333335,0.15555549999999999,1.0,0.15,0.8555555,0.10555549999999998,0.08333333333333333,0.055555500000000015,0.10000000000000002,0.2833333333333334,0.011111166666666672,0.48333333333333334,0.11111116666666665,0.05000000000000001,0.022222166666666654,0.10000000000000002,0.08888883333333335,0.2222221666666667
k,0.022222166666666654,0.1888888333333333,0.055555500000000015,0.033333333333333326,0.0944445,0.027777833333333318,0.2944445,0.15,1.0,0.3,0.033333333333333326,0.08888883333333335,0.005555500000000009,0.08888883333333335,0.16666666666666666,0.06666666666666665,0.1888888333333333,0.04301083333333333,0.1777778333333333,0.08333333333333333,0.033333333333333326,0.033333333333333326,0.033333333333333326
l,0.027777833333333318,0.2944445,0.21666666666666665,0.011111166666666672,0.5055554999999999,0.05000000000000001,0.2555555,0.8555555,0.3,1.0,0.011111166666666672,0.06111116666666668,0.03888883333333334,0.13333333333333333,0.3763441666666667,0.01666666666666668,0.5833333333333334,0.04838716666666668,0.055555500000000015,0.01666666666666668,0.033333333333333326,0.01666666666666668,0.06666666666666665
m,0.033333333333333326,0.03888883333333334,0.022222166666666654,0.022222166666666654,0.055555500000000015,0.0444445,0.2555555,0.10555549999999998,0.033333333333333326,0.011111166666666672,1.0,0.6111111666666668,0.05000000000000001,0.055555500000000015,0.2055555,0.033333333333333326,0.011111166666666672,0.21111116666666666,0.39999999999999997,0.01666666666666668,0.03888883333333334,0.033333333333333326,0.15555549999999999
n,0.13888883333333335,0.12777783333333334,0.15555549999999999,0.12222216666666667,0.033333333333333326,0.11666666666666665,0.7555554999999999,0.08333333333333333,0.08888883333333335,0.06111116666666668,0.6111111666666668,1.0,0.2333333333333333,0.13888883333333335,0.35555549999999997,0.08602150000000001,0.01666666666666668,0.5888888333333333,0.10215049999999999,0.0944445,0.12222216666666667,0.0944445,0.4611111666666667
o,0.6666666666666666,0.5333333333333333,0.65,0.5222221666666668,0.027777833333333318,0.4111111666666667,0.07777783333333332,0.055555500000000015,0.005555500000000009,0.03888883333333334,0.05000000000000001,0.2333333333333333,1.0,0.43333333333333335,0.022222166666666654,0.21111116666666666,0.022222166666666654,0.30555550000000004,0.022222166666666654,0.0444445,0.5333333333333333,0.9333333333333332,0.2833333333333334
p,0.35555549999999997,0.6777778333333333,0.6827956666666667,0.2333333333333333,0.10555549999999998,0.5833333333333334,0.24444450000000004,0.10000000000000002,0.08888883333333335,0.13333333333333333,0.055555500000000015,0.13888883333333335,0.43333333333333335,1.0,0.12777783333333334,0.04301083333333333,0.055555500000000015,0.13333333333333333,0.027777833333333318,0.027777833333333318,0.27777783333333333,0.3388888333333333,0.12903233333333333
r,0.08333333333333333,0.0444445,0.055555500000000015,0.0444445,0.4666666666666666,0.0444445,0.22777783333333335,0.2833333333333334,0.16666666666666666,0.3763441666666667,0.2055555,0.35555549999999997,0.022222166666666654,0.12777783333333334,1.0,0.10000000000000002,0.39444450000000003,0.16111116666666667,0.005555500000000009,0.05000000000000001,0.027777833333333318,0.033333333333333326,0.07222216666666666
s,0.17222216666666665,0.06666666666666665,0.0444445,0.20000000000000004,0.0444445,0.13333333333333333,0.03888883333333334,0.011111166666666672,0.06666666666666665,0.01666666666666668,0.033333333333333326,0.08602150000000001,0.21111116666666666,0.04301083333333333,0.10000000000000002,1.0,0.033333333333333326,0.055555500000000015,0.01666666666666668,0.1944445,0.10000000000000002,0.13888883333333335,0.022222166666666654
t,0.027777833333333318,0.10555549999999998,0.06111116666666668,0.033333333333333326,0.6333333333333333,0.022222166666666654,0.16111116666666667,0.48333333333333334,0.1888888333333333,0.5833333333333334,0.011111166666666672,0.01666666666666668,0.022222166666666654,0.055555500000000015,0.39444450000000003,0.033333333333333326,1.0,0.10000000000000002,0.0,0.0444445,0.022222166666666654,0.01666666666666668,0.055555500000000015
u,0.3277778333333334,0.15555549999999999,0.13888883333333335,0.0944445,0.0444445,0.12222216666666667,0.38888883333333335,0.11111116666666665,0.04301083333333333,0.04838716666666668,0.21111116666666666,0.5888888333333333,0.30555550000000004,0.13333333333333333,0.16111116666666667,0.055555500000000015,0.10000000000000002,1.0,0.2888888333333333,0.0944445,0.2611111666666666,0.27777783333333333,0.8888888333333332
w,0.033333333333333326,0.01666666666666668,0.011111166666666672,0.05000000000000001,0.022222166666666654,0.027777833333333318,0.05000000000000001,0.05000000000000001,0.1777778333333333,0.055555500000000015,0.39999999999999997,0.10215049999999999,0.022222166666666654,0.027777833333333318,0.005555500000000009,0.01666666666666668,0.0,0.2888888333333333,1.0,0.11111116666666665,0.005555500000000009,0.01666666666666668,0.16666666666666666
