"","0.0-0.1","0.1-0.2","0.2-0.3","0.3-0.4","0.4-0.5","0.5-0.6","0.6-0.7","0.7-0.8","0.8-0.9","0.9-1.0"
"0.0-0.1","0.9988, 0.0019","0.7451, 0.3571","0.7564, 0.3695","0.5027, 0.6291","0.3551, 0.7892","0.3435, 0.7944","0.4766, 0.7826","0.0785, 0.9749","1, 1","1, 1"
"0.1-0.2","0.9062, 0.1192","0.6129, 0.4636","0.4449, 0.6483","0.3521, 0.7888","0.9581, 0.1668","0.2145, 0.884","0.627, 0.5984","1, 1","1, 1","1, 1"
"0.2-0.3","0.9559, 0.0627","0.6893, 0.4083","0.7643, 0.376","1, 1","0.9599, 0.1692","0.797, 0.5212","1, 1","1, 1","0, 1","1, 1"
"0.3-0.4","0.8768, 0.204","0.0754, 0.9786","0.0827, 0.9764","1, 1","0.4727, 0.7833","0.474, 0.7738","1, 1","0, 1","1, 1","1, 1"
"0.4-0.5","0.9647, 0.0807","0.4897, 0.772","0.4823, 0.7798","0.8322, 0.3812","1, 1","1, 1","1, 1","1, 1","1, 1","1, 1"
"0.5-0.6","0.8496, 0.2447","0.0762, 0.9776","1, 1","1, 1","1, 1","1, 1","0.805, 0.5175","1, 1","1, 1","1, 1"
"0.6-0.7","0.3734, 0.7388","0.6348, 0.5917","0.9569, 0.1379","0.3555, 0.7858","0.7967, 0.5197","0.0484, 0.9809","0, 1","1, 1","1, 1","1, 1"
"0.7-0.8","0.9622, 0.0934","0.4696, 0.7803","0.2162, 0.9148","0.4879, 0.7826","0.0186, 0.9932","0.804, 0.5168","1, 1","1, 1","1, 1","1, 0.1984"
"0.8-0.9","1, 0.2005","1, 1","1, 0.2031","0.9561, 0.1283","1, 1","1, 1","1, 1","1, 1","0.0495, 0.9809","1, 1"
"0.9-1.0","1, 1","1, 1","1, 1","1, 1","1, 1","1, 1","1, 1","1, 1","1, 1","1, 1"
