"","a","b","d","e","f","g","h","i","k","l","m","n","o","p","r","s","t","u","w","z","ä","ö","ü"
"a",1,0.222222222222222,0.0909090909090909,0.7,0.1,0.181818181818182,0.111111111111111,0.777777777777778,0.0909090909090909,0.230769230769231,0.3,0.166666666666667,0.7,0.111111111111111,0.25,0.166666666666667,0,0.636363636363636,0.2,0,0.875,0.636363636363636,0.7
"b",0.222222222222222,1,0.4,0.2,0.5,0.333333333333333,0,0.222222222222222,0.166666666666667,0.222222222222222,0.6,0.285714285714286,0.2,0.666666666666667,0.25,0.285714285714286,0.2,0.181818181818182,0.75,0.142857142857143,0.25,0.181818181818182,0.2
"d",0.0909090909090909,0.4,1,0.0833333333333333,0.166666666666667,0.285714285714286,0,0.0909090909090909,0.142857142857143,0.5,0.285714285714286,0.666666666666667,0.0833333333333333,0.2,0.571428571428571,0.666666666666667,0.75,0.0769230769230769,0.333333333333333,0.5,0.1,0.0769230769230769,0.0833333333333333
"e",0.7,0.2,0.0833333333333333,1,0.0909090909090909,0.166666666666667,0.1,0.7,0.0833333333333333,0.214285714285714,0.272727272727273,0.153846153846154,0.636363636363636,0.1,0.230769230769231,0.153846153846154,0,0.583333333333333,0.181818181818182,0,0.777777777777778,0.9,0.636363636363636
"f",0.1,0.5,0.166666666666667,0.0909090909090909,1,0.142857142857143,0,0.1,0.166666666666667,0.1,0.333333333333333,0.125,0.0909090909090909,0.666666666666667,0.111111111111111,0.285714285714286,0.2,0.0833333333333333,0.75,0.333333333333333,0.111111111111111,0.0833333333333333,0.0909090909090909
"g",0.181818181818182,0.333333333333333,0.285714285714286,0.166666666666667,0.142857142857143,1,0,0.3,0.8,0.181818181818182,0.25,0.222222222222222,0.272727272727273,0.166666666666667,0.2,0.222222222222222,0.142857142857143,0.363636363636364,0.285714285714286,0.111111111111111,0.2,0.153846153846154,0.272727272727273
"h",0.111111111111111,0,0,0.1,0,0,1,0.111111111111111,0,0.111111111111111,0,0,0.1,0,0.125,0.142857142857143,0,0.0909090909090909,0,0,0.125,0.0909090909090909,0.1
"i",0.777777777777778,0.222222222222222,0.0909090909090909,0.7,0.1,0.3,0.111111111111111,1,0.2,0.230769230769231,0.3,0.166666666666667,0.7,0.111111111111111,0.25,0.166666666666667,0,0.8,0.2,0,0.875,0.636363636363636,0.888888888888889
"k",0.0909090909090909,0.166666666666667,0.142857142857143,0.0833333333333333,0.166666666666667,0.8,0,0.2,1,0.0909090909090909,0.125,0.111111111111111,0.181818181818182,0.2,0.1,0.111111111111111,0.166666666666667,0.272727272727273,0.142857142857143,0.125,0.1,0.0769230769230769,0.181818181818182
"l",0.230769230769231,0.222222222222222,0.5,0.214285714285714,0.1,0.181818181818182,0.111111111111111,0.230769230769231,0.0909090909090909,1,0.3,0.555555555555556,0.214285714285714,0.111111111111111,0.875,0.555555555555556,0.375,0.2,0.2,0.3,0.25,0.2,0.214285714285714
"m",0.3,0.6,0.285714285714286,0.272727272727273,0.333333333333333,0.25,0,0.3,0.125,0.3,1,0.571428571428571,0.272727272727273,0.4,0.333333333333333,0.222222222222222,0.142857142857143,0.25,0.5,0.111111111111111,0.333333333333333,0.25,0.272727272727273
"n",0.166666666666667,0.285714285714286,0.666666666666667,0.153846153846154,0.125,0.222222222222222,0,0.166666666666667,0.111111111111111,0.555555555555556,0.571428571428571,1,0.153846153846154,0.142857142857143,0.625,0.5,0.5,0.142857142857143,0.25,0.375,0.181818181818182,0.142857142857143,0.153846153846154
"o",0.7,0.2,0.0833333333333333,0.636363636363636,0.0909090909090909,0.272727272727273,0.1,0.7,0.181818181818182,0.214285714285714,0.272727272727273,0.153846153846154,1,0.1,0.230769230769231,0.153846153846154,0,0.9,0.181818181818182,0,0.777777777777778,0.727272727272727,0.8
"p",0.111111111111111,0.666666666666667,0.2,0.1,0.666666666666667,0.166666666666667,0,0.111111111111111,0.2,0.111111111111111,0.4,0.142857142857143,0.1,1,0.125,0.142857142857143,0.25,0.0909090909090909,0.5,0.166666666666667,0.125,0.0909090909090909,0.1
