"","a","b","d","e","f","g","h","i","k","l","m","n","o","p","r","s","t","u","w","z","ä","ö","ü"
"a",1,0.422222222222222,0.527777777777778,0.327777777777778,0.0111111111111111,0.4,0.0611111111111111,0.0333333333333333,0.0222222222222222,0.0277777777777778,0.0333333333333333,0.138888888888889,0.666666666666667,0.355555555555556,0.0833333333333333,0.172222222222222,0.0277777777777778,0.327777777777778,0.0333333333333333,0.0277777777777778,0.89247311827957,0.494444444444444,0.283333333333333
"b",0.422222222222222,1,0.766666666666667,0.211111111111111,0.138888888888889,0.422222222222222,0.45,0.0722222222222222,0.188888888888889,0.294444444444444,0.0388888888888889,0.127777777777778,0.533333333333333,0.677777777777778,0.0444444444444444,0.0666666666666667,0.105555555555556,0.155555555555556,0.0166666666666667,0.0222222222222222,0.3,0.344444444444444,0.111111111111111
"d",0.527777777777778,0.766666666666667,1,0.311111111111111,0.0722222222222222,0.516666666666667,0.288888888888889,0.122222222222222,0.0555555555555555,0.216666666666667,0.0222222222222222,0.155555555555556,0.65,0.682795698924731,0.0555555555555555,0.0444444444444444,0.0611111111111111,0.138888888888889,0.0111111111111111,0.0388888888888889,0.394444444444444,0.383333333333333,0.111111111111111
"e",0.327777777777778,0.211111111111111,0.311111111111111,1,0.0555555555555555,0.227777777777778,0.0388888888888889,0.0333333333333333,0.0333333333333333,0.0111111111111111,0.0222222222222222,0.122222222222222,0.522222222222222,0.233333333333333,0.0444444444444444,0.2,0.0333333333333333,0.0944444444444444,0.05,0.0555555555555555,0.366666666666667,0.355555555555556,0.0944444444444444
"f",0.0111111111111111,0.138888888888889,0.0722222222222222,0.0555555555555555,1,0.0666666666666667,0.133333333333333,0.526881720430108,0.0944444444444444,0.505555555555556,0.0555555555555555,0.0333333333333333,0.0277777777777778,0.105555555555556,0.466666666666667,0.0444444444444444,0.633333333333333,0.0444444444444444,0.0222222222222222,0.05,0.0555555555555555,0.0166666666666667,0.0222222222222222
"g",0.4,0.422222222222222,0.516666666666667,0.227777777777778,0.0666666666666667,1,0.0944444444444444,0.0888888888888889,0.0277777777777778,0.05,0.0444444444444444,0.116666666666667,0.411111111111111,0.583333333333333,0.0444444444444444,0.133333333333333,0.0222222222222222,0.122222222222222,0.0277777777777778,0.0388888888888889,0.283333333333333,0.255555555555556,0.161111111111111
"h",0.0611111111111111,0.45,0.288888888888889,0.0388888888888889,0.133333333333333,0.0944444444444444,1,0.155555555555556,0.294444444444444,0.255555555555556,0.255555555555556,0.755555555555556,0.0777777777777778,0.244444444444444,0.227777777777778,0.0388888888888889,0.161111111111111,0.388888888888889,0.05,0.0333333333333333,0.0722222222222222,0.1,0.355555555555556
"i",0.0333333333333333,0.0722222222222222,0.122222222222222,0.0333333333333333,0.526881720430108,0.0888888888888889,0.155555555555556,1,0.15,0.855555555555556,0.105555555555556,0.0833333333333333,0.0555555555555555,0.1,0.283333333333333,0.0111111111111111,0.483333333333333,0.111111111111111,0.05,0.0222222222222222,0.1,0.0888888888888889,0.222222222222222
"k",0.0222222222222222,0.188888888888889,0.0555555555555555,0.0333333333333333,0.0944444444444444,0.0277777777777778,0.294444444444444,0.15,1,0.3,0.0333333333333333,0.0888888888888889,0.00555555555555557,0.0888888888888889,0.166666666666667,0.0666666666666667,0.188888888888889,0.043010752688172,0.177777777777778,0.0833333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
"l",0.0277777777777778,0.294444444444444,0.216666666666667,0.0111111111111111,0.505555555555556,0.05,0.255555555555556,0.855555555555556,0.3,1,0.0111111111111111,0.0611111111111111,0.0388888888888889,0.133333333333333,0.376344086021505,0.0166666666666667,0.583333333333333,0.0483870967741935,0.0555555555555555,0.0166666666666667,0.0333333333333333,0.0166666666666667,0.0666666666666667
